Comment ID,Video 0,Video 1,Video 2,Video 3,Video 4,Video 5,Video 6,Video 7,Video 8,Video 9,Video 10,Video 11,Video 12,Video 13,Video 14,Video 15,Video 16,Video 17,Video 18,Video 19
0,how much would that inframe cost for that same engine just wondering,okkkk okkk you are amateur driver,hello guy am new on the cdl business am about to buy a 2018 <BX> vnl 780 with 470k for 78k is this a good deal if yes what s need to be done or what to expect from this deal thanks,mff boz numpng tyaa kenapa gas mobil <BX> fmx 44o ku kok kalau di pakai nanjak kok gas ya sendat2 ya kyak mau masuk angin boz mhn penjlhn ya bozz,see why it s so expensive to do this job,how do you test run a diesel engine off the vehicle how do you connect fuel to the supply inlet,what a mess,,wherever,according to <BX> the <BX>s engine in the american market are different than the european the european is more modern tho,question for you i have a small fine thread bolt with a brass sealing ring i do not know where the placement of it is look like a fuel passage block,will the vnl 860 pull 50000lbs,,c est toujours un r el plaisir de voir un moteur <BX> en plein d pannage,when choosing a place to have a big job done like this do what he did and read the review and do your homework so many place out there that do shoddy work and will refuse to stand behind their work,mazda is bringing a rotary range extender to market in 2022 and will even sell them to toyota the rotary is not dead it s an excellent choice for a range extender,very good engine used around the word use to last more than 1 500 000 km with brasiliam garbage diesel and road,hola buen d a muy buen canal y educativo explica muy bien yo soy de chile y me compr un <BX> vnl 670 2016 pero ac llegan por importaci n directa a zona franca por lo que le pido si me puede dar informaci n de manuales y cualquier otra cosa importante por favor muy amable,thanks for helping me understand the harness better,before jumping to the nox you should have began with the egr issue and run a regen after fixing them nox will get bad reading if the egr system is not working properly
1,there s noway in hell i would fix that truck i would just buy other one i woke up one morning it wa not there,i have 2020 year <BX> and fuel filter is on passenger side,i have a d16 sometimes when i go up or down a mountain my oil light come on the oil is full and i have replaced the sensor in the pan twice and the temp sensor and it still cut off but crank right up and go sometimes the def light come on but go right off i replaced the filter 6 month ago it wa 2700 plus labor i do not know what else it could be,maaf bos kode error yg samean kirim kemaren masuk ke spam jadi gak tau saya kalo error itu kan untuk lampu jadi gak ngaruh ke power engine bang,injector cup tip broken and stuck on cylinder head any suggestion how to remove it,you can run engine off a bucket and just battery to start it and run the electronics,aulas,please <BX> common rail fuel system name,,so do you recommend a 2017 or 2018 <BX> <M2> with 420 000 mile,where is the yaw sensor,i want a knee busting heavy clutch manual gearbox truck from an era when environment wa no issue,,the oil seperator will leak it design is flawd xd,is it tax write off drive it until the wheel fall off at this point buy one with le and quit otr that what s killing these truck all dam mile up hill down hill pulling 80k letting the engine run 24 5 34k is about right,<BX>oooooo,piece of garbage actually expensive to fix over complicated junk i have a ved12 in 07 670 and we have several truck with the <M2> utter trash after this truck i will never drive nor own another one of these bastard again,tengo un <BX> se regenera solo dura 20 minutos pero no limpia el filtro ni aparese regeneration en progreso que podria ser parese como una falsa regeneration,you could check the wiring first with the proper tool but if you feel like your engine is idling uneven probably is a bad injector thanks for the support and watching the channel,dieselbullet common mistake by many when the egr system is not working properly the engine can put out a range of nox that will fool the sensor into thinking it bad not to mention issue with getting to temp cause by egr issue can trick the sensor into thinking it heating element ha failed if you want to save some money always repair egr issue first and then see if nox issue are still present
2,finally a video on these engine and the tech is not an idiot i am a master on both <BX> and mack got ta say the mack are a hell of alot more reliable i think in the last 5 year ive seen one with a broken valve since then i have seen a shit load of <BX>s with broken valve it all down to the programming,i have a question is there any difference between a car engine and an electric engine is the engine suitable for the electric engine to be connected to the electrical device that creates generate i wait answer,wtf which truck is best in his eye name it who do not have so many problem,maksud saya kode erronya bos kayak mid berpa gitu terus gejala2 yang lain apa bos kalo troble shooting kan biasanya yg dilihat kode errornya apa yg muncul trus gejala2 yg lainnya apa saja seperti rpm tidak mau naik atau speedometernya gak main dll kalo kode errornya gak tau saya juga bingung bos,cardinal truck service thanks,grasias,no egr,love my 2013 <M2> with i shift,,this problem are available also for <M2>k from european version have a nice day,i have a <M2> engine problem is oil mix with water and have already change oil cooler but problem continue can you help me,i have i shift 2015 <BX> a lot a problem to fix cost a lot money manual transmission it s the best,,love how old driver s talk shit about this motor then i come across them with my 2020 <BX> <M2> and walk down there garbage cat motor up a hill at 40k plus in the box and to add to there embarrassment did it with ishift 12 speed with a 12 8 liter motor the look on there face in there peterbilt s and kenworth s is priceless and what make it worse is my engine is not even broke in yet,35 000 is not expensive it is all deductible always save a percentage and you will never be broke and do not buy unnecessary thing,will the connection keep the turbo spooled at idle or when the truck is coasting,fadingbeleifs well can not be worse than a maxxforce cause they set the bar in how bad an engine can be,seria tan amable de decirme cual e el m dulo de la luce 9535419301 este e mi n mero gracias,i have these 3 code going on wa told it could be bad harness or injector is there a simple way to trouble shoot the harness before deciding to replace the injector thanks fuel injection quantity lower than expected cylinder 4 fuel injector offset learning at max limit cylinder 4 misfire detected,wa really a circuit code not a performance code egr failure would not cause a circuit failure in nox sensor if wa performance code 100percent agree
3,bruce evert not that i know of no but if you keep up on your overhead and have them done by someone that s really know what they are doing they can catch this before it happens,my 2014 <M2> still running with 960 k mile no complaint it paying my bill good working truck,doe anyone know if there is a company or even a template i can buy to block the egr hot pipe with,biggy feri iya itu tadi bos kode yaa air clener n filter solar baru semuay bos bgtu ttp gak ada perubahan bos di pakai nanjak dikit yg bisa dibong gk tgggi gak mmapu bozz ni mknik psng 7x bozz apa yaa,need a special tap and bolt not sure where you can get one,tengo un cami n 2011 con motor <BX> <M2> y tarda en ensender que le puedo revisar,good,,5,<M2> <BX> engine year 2013 pulled the head and cyl 5 valve gone bad we only pulled the head because two turbos gone bad in short period of time inspected the turbo found the vein damaged complaint wa truck did not pull good 680k mile,wish you guy were located in chicagoland area,guy say dear santa i want this a a christmas gift no other thing pls remove that blonde girl i want earlier,,if you decide to keep it past warranty just let everyone know how the repair bill are,wow u could buy a new engine or another truck,excelente video,i find my <M2> to be gutless maybe because it paired with the 12 speed i shift it is a very quiet and smooth engine though,buenos dia se or he visto sus video y son muy intructivos tengo varias preguntas de mi <BX> <M2> como puedo contactar y muchas gracias por sus video,can you help with j1587 every time it rain code pop up engine protection mode same with truck wash,great video how you do exit inducement to get rid of dash message 5pmh limit
4,can they be reprogrammed to prevent this,hajde nejedi govna,in the injector seal kit there s the thick purple one at the top and there s a thinner purple one use it on the bottom ring of the injector and that fix your hard start problem a lot of <M2> thing i have noticed have a bleed down issue with their injector and they get air in the system you can change the check valve you can change everything on there and still have a hard start a lot of them can be fixed by running a double seal i need injector itself not always but most of the time that will fix your problem,kalo jalan rata aman ya bos gak sendat2 ya gasnya pastikan dulu ada kode error atau tidak bos dan saat terjadi sendat2 itu apakah muncul informasi di monitor atau tidak bisa jadi ada kebuntuan di intake sistem air cleanner atau filter solar yg kotor bisa juga karna saat nanjak kan butuh tenaga yg lbh besar,any mechanic in the texas area to do this on <M2> <BX>,revisale que tenga diesel,sooo this engine is always regenerating that wa always my idea instead of big periodic regens have a continuation of fuel going through the 7th injector i think that s better,we are inherited from my father and my brother and i have <BX> truck and now i own a <BX> fh d 13 520 hp model 2007 and i am a <BX> fan actros truck refused because my country jordan doe not buy anything but mercedes and we blame an agent and i am a promoter of <BX> and i convinced many people near and far and my phone number watt 00962772945580 darling <BX> khadr al taamari and my dream ride in a <BX> fh16 750 hp i wish <BX>,fantastic,great insight guy but i got ta tell you you have scared me away from the <M2> i am very interested in buying a 2015 or 16 <BX> w the i shift but all of the common issue have me concern,can you please make a list for all the part when they are better to be replaced at what millage before braking down on the side of the road it s very expensive and frustrating to have those problem in the middle of nowher,driving i shift from 2009 european and u truck there is not better automatic transmission on the market,,well guess <BX> can kiss goodbye to truck sale in australia with this eyesore one day maybe you will work out that all this technology and emission shit make for one hell of an unreliable truck good luck <BX>,just had my 5th cylinder go out on me in albuquerque <BX> dealer estimate $ 30 000 and 2 month of work i towed it to a family owned specialist in gallup if anyone need the info let me know this situation make a grown man cry i know,0 40 0 14 0 54,wish we had the old series 60 back the <M2> is smoother and quieter but the 12 7 got better fuel mileage and wa simpler a properly tuned 12 7 wa hard to beat,muchas gracias por toda esta informaci n dios te bendiga,thank you for making this video,there is an option in test i think it like scr aftertreatment system or something close to that there are 4 option and it will be the bottom of the 4 option
5,do you trucker think these <M2>s are better than a cummins engine,cummins lt packard lt dd15 lt <M2> <BX> is best and cummins must die after 7yr experience,hey adam have a <M2> vn and during a forced regen the exhaust temp reach anywhere from 950 to just over 1000 degree then it stop and temp come down to around 450 then go back to regen also it seems there is a lot of fuel coming at the connection at the bellow have any idea no code are coming up thanks,biggy feri yg di cek sensor speed dan pedal gas ya namun tetap sama ja bozz,thanks for the video did my first six pack w cupper and the client wa more than satisfied happy holiday,buenas tardes saludos,it s called passive regeneration,love,price,everything will have common issue educate yourself on whatever you are interested in so you are an informed buyer and operator,how do i know when you are live,tesla semi is the future,,no thanks i will stick with my 16 pre 1990 t600 s with 3406b cat,i have got a broke down <BX> <M2> in alberquerque can you give me the info or number,01 14 0 55 0 49,n2o4me what is the hp and torque setting you have and what tire size rear end ratio and is the ishift the direct drive or overdrive do you have the performance software or just basic,gracias hermano igualmente para ti,you are welcome thank you to support the channel,volume
6,yea more labor to do a head replacement the way you are doing it,let s see in a long run who stay in the top <BX> and detroit engine for now keep the crown in the top 3 with cummins at the third place thanks for share your opinion,basically junk,om mau tanya dong kekencangan untuk baut silinder head <M2> berapa ya om,<BX> hino want sapp 0092 3452556685,,yes sir we should work for the <BX> engineering department,i loved driving <BX> before i bought one they put bad quality part on this expensive truck that is breaking all the time also the air leak are so annoying i have to fix few air leak a month sensor going out and half of time no check engine light i bought my <BX> brand new in 2015 now i have 800k mile on it if i did not learn how to fix many thing by my self i would be out of business also in our company 4 truck with <M2> engine did a overhaul before 600k mile,,scr eliminated the need for egr no idea why we still use egr other than government corruption,hit that notification bell thanks for the comment,<BX> is seriously lacking video on this engine and the new exceed package,,,rebuilt motor doe not add much value drive it till it dy and scrap it,no scania ha since 1989 on ds11 0 litler engine,,much sima gracias francisco por tu comentario dios te bendiga a ti y tu familia cu date saludos suerte en todo lo que hagas,where is your shop,love doing those harness
7,nick purcella i am not flat rate so i could care le how long it take i still get paid the same,i got 1200000 mile on my <M2> <BX> automated and still running strong do your oil change on time and they will run forever,hey man wish you were in cali i can not find a good shop and do not want to go to stealer i would rather invest in a small shop to help me anyways man 2015 vnl 780 <M2> ishift with 599 952 lol 1 i have a tick that started and i can not find it i think it may be a lifter can you give me any other suspect you have encountered 2 got a check engine for crank case pressure the red stop triangle came up several time and i just had to shut off the truck and it would start right back up fine after watching your video i change the sensor and it did not fix it the oil separator filter is not leaking and i can hear it spin i have to have the sensor disconnected otherwise i can not drive the truck this may have triggered an 02 sensor that i have now i can not clear code with the dash diagnostics but i can with my lil obdii scsnner but the code come back after i restart the truck i need help please,em gitu terima kasih om,i had injector put in and my jake quit working any relationship,,jake knelsen i totally agree if it is given a computer doser rate based on egr temp soot level and atmospheric pressure then no need for derates or parked regens keep it dosing and allow for an operator select rolling regen so hit a button on fly while you are on a 40 mile 1100 rpm stretch and clean the dpf also do a trickle charge heater built in to the tank s structure like heated floor for def tank to prevent crystalization,your company might need to revise the type of oil they are using,,any input about the mack mp7 and mp8 engine,bro i am in dallas to,shut up bitch,,,ebay 12k,not a new idea at all google napier nomad,,por k medio te podemos contactar,i do not have a shop yet i will let know my subscriber in here if i would open one in the future,thank you bro i bought 2 <BX> vnl glad i see ur video bro
8,polarisboy67 i guess it more money out of the customer pocket an into yours,let s talk diesel it s good that you tell u that the oil filter are all the same on this engine it wa a pain having to get a bypass filter and two ordinary filter now they are all the same it is le confusing thanks,i have a 2006 d16 my engine break is not working i tried the clutch lift to see if that wa the issue but it ai not i watched a video about oil sensor temp that could cause the issue could you please give me a tip a to what the problem may be thank you,urutannya seperti ini bos step 1 100 5 nm step 2 angle tightening 120 5 step 3 angle tightening 90 5,cardinal truck service they still have it and they ordered a solenoid i do not know who they are planning on paying for it they took valve cover back off and said everything looked good with new orings put on just suck bill is going to be big anyway,,<BX> is this engine close to euro 3 4 5 6 certification,changed all 6 injection fuel economy did not go back up stuck at 6 0mpg i use to have 7 3mpg not anymore also my bos that i work with he ha 14 <BX> <M2> truck after around 400k mile fuel economy drop down no check engine light power seems the same truck idle great turbo boost is good many driver told me to change injection and <BX> dealer said something so i did and guess what nothing happened i like <BX> but when i had any problem with them it hard to find the real problem you will end up spending 10k and mind not find the problem in the end this happened personally to me 2 time spent lot of money on def then just decided to delete it then now i got this fuel problem that dropped to 6 0 and i spent so much money on it with zero result,i love that they got rid of the vgt it should be more reliable,same engine i have heard mack tuning is more efficient le problem,very useful information,if you have to remember what gear your in your not a trucker your a steering wheel holder you should be able to not even look for the shifter and once you put your hand on it you should know what gear your in if you do not then i would say steering wheel holder yes i have driven on older <BX> 2011 2012 with i shift and it did not fuck around and stayed in the correct gear even while using jakes it is a good transmission but in my book if you can not shift a manual transmission you are a steering wheel holder one last thing the reason for mega carrier for getting automatic transmission and not manual especially the company that train are not for cost maintenance it to screw the new driver over and make it very hard to leave because they will have an automatic only licence,,,how many year warranty you got,we are inherited from my father and my brother and i have <BX> truck and now i own a <BX> fh d 13 520 hp model 2007 and i am a <BX> fan actros truck refused because my country jordan doe not buy anything but mercedes and we blame an agent and i am a promoter of <BX> and i convinced many people near and far and my phone number watt 00962772945580 darling <BX> khadr al taamari and my dream ride in a <BX> fh16 750 hp i wish <BX>,,hola tengo una duda en camion <BX> <M2> me aparece em la pantallita la leyenda controlar motor falla que significa por favor,sir mid 128 pid 85 fmi 9 how fault explain sir help me my <BX> truck 2005 model not start it our code my whatsapp no 7707878753,i have a usb link 2 which adapter doe a 2015 <BX> require to diagnose
9,you mean the right way lol,will malloy 2013,i have a d12 <BX> and it put up a co in my dash sid146 electrical fault another one saying fuel feedpump drive stage psid230 need help to know what do that mean done put fuel pump an accessory drive and new fuel filter an truck still wont start,,yes take it back to the shop,,might a well go back to gas powered truck,tego un problema d cobutible,i wish they painted them those color very pretty compared to baby poop green,i have a 2014 <BX> <M2> xe package truck at 920k mile with injector cup that have never been changed no injector issue either the key to it is to not run your truck all night i use a webasto heater in the winter and and rv ac unit with a generator for ac during the summer month most people wake up and regen every morning that heat from burning the gas and having everything that hot screw the life on everything i regen maybe once every 5 month if that that is your key do not have the truck on,great video keep it up,i want one,,,good job brother you do not worry for another 400k mile my <BX> 2014 it about 950k mile still running im driving it till die thanks,what happens during startup when that massive gear reduction is reversed what happens in the setup during period of inadequate exhaust output say downhill what kind of stress doe it produce is there a way that the system can be disengaged,,que tal chuy oye puedes hacer tutorial de ab y ct salu2 desde chicago,good information what is your recommendation to change at how many mile,9 pin green plug
