Comment ID,Video 0,Video 1,Video 2,Video 3,Video 4,Video 5,Video 6,Video 7,Video 8,Video 9,Video 10,Video 11,Video 12,Video 13,Video 14,Video 15,Video 16,Video 17,Video 18,Video 19
0,Please sir your facebook I&#39;d  nume send,<M2> motor,"He had the torque numbers wrong.   The engines are torque limited in the lower gears to save the driveline.  In highway gears they are not torque limited and run full torque.<br /><br />The <M1> and <M2> might be torque limited to the same number in the lower gears, but the <M2> will definitely put out more torque in the highway gears.",بارك الله فيك,Mashala,فولفو قوي ومتن,Mas conocimiento sobre este sistema,"Люблю Вольво, super",Bang ferri <br />Q bru ganti ecu 440fmx . Harganya betul yg pean bilang bhkan lebih harganya,Assalam walikum,Por favor puedes apoyarme con el <BX> FL - 7 sensor inductivo de velocimetro.gracias,,,ارجوا الترجمه بالعربيه,,,cuanto?$$$$,"I bought my first Brand New Semi truck was a <BX> 780. 2014.  At only 22 miles.. driving out of the lot  &quot; Check Engine light &quot; always !!!. Broke down at 240K. Miles it got tow to Vegas <BX>. It broke again 400K. Milea then again at 520K. And last at 610K. All from the same problems... Injectors and DPF ..... <br />Personal opinion : <br /><BX> : The Most comfortable truck, just like an RV. If you only run 68 mph or less.<br />Reliability = 000000000. Everything else also fail at one point or an other. <br />Would I buy it again : NO NEVER !!!<br />I own a Kenworth T680 2019 also bought it brand new X15 525 HP with 8 miles and now at 305,540 miles no breakdowns...... it truly is the World&#39;s Best.",They dont say that the fuel injectors are trash and allow air into the system. I know this because I change these injectors about once a week at a dealer. And the <M1> is complete junk,
1,<BX> fmx sama kah omm,"Yes  , sir",I have <M2>. But for the past two years all I heard about is <M2>tc. Yet I haven&#39;t seen this motor in past two years. So what&#39;s up with that motor. <BX> hyped that motor up just to be a no show when it suppose be out already and available. But here are in 2020 and still a no show.,,👍,I was wondering if turbo compounding is available on the D-11???,,,Perkiraan memang segitu bang harganya. 😁,Wa&#39;alaikumsalam,que problema paso?,,,Please <BX> common rail fuel system name?,,,,Good,,
2,Sama bang kalo engine nya <M1>,and where is crankshaft sensor???,"Great information, thank you!!!",,Absen subuh,"【我在106年7月17日到台灣在台協會AIT的FACEBOOK  檢舉美國泰森食品公司賣病死雞棒棒腿給台灣人吃，把台灣人當畜牲以獲取暴利的詐欺行為，結果我FACEBOOK在18日被封鎖，真的是無恥的美國政府。】<br />[Shameless U.S.Tyson Foods, inc.]   The original Tyson foods, inc. sent freezing sick dead chickens to Mexico to deal with, bribes veterinarian to give false proof of conformity certificate then sold sick dead chickens drumsticks to Taiwan Cheating money. <br />Justice News Department of Justice Office of Public Affairs FOR IMMEDIATE RELEASE Thursday, February 10, 2011 Tyson Foods Inc. Agrees to Pay $4 Million Criminal Penalty to Resolve Foreign Bribery Allegations WASHINGTON – Tyson Foods Inc. has agreed to pay a $4 million criminal penalty to resolve an investigation into improper payments by company representatives to government-employed inspection veterinarians in Mexico, announced Assistant Attorney General Lanny A. Breuer of the Criminal Division and James W. McJunkin, Assistant Director in Charge of the FBI’s Washington Field Office.     “Tyson Foods used false books and sham jobs to hide bribe payments made to publicly-employed meat processing plant inspectors in Mexico,” said Assistant Attorney General Breuer.  “The penalty and resolution announced today reflect the company’s disclosure of this conduct, its cooperation with the government’s investigation and its commitment to implementing enhanced controls.”A criminal information filed in U.S. District Court in the District of Columbia in connection with a deferred prosecution agreement charges Tyson with conspiracy to violate the Foreign Corrupt Practices Act (FCPA) and with violating the FCPA.  Tyson, which is headquartered in Springdale, Ark., produces prepared food products.  As part of a deferred prosecution agreement with the department, Tyson acknowledged responsibility for the actions of its subsidiaries, employees and agents who made improper payments to government-employed veterinarians who inspected two of its chicken processing plants in Gomez Palacio, Mexico.    Any company that exports meat products from Mexico must participate in an inspection program, supervised by the Mexican Department of Agriculture.  According to court documents, the inspection program at each facility is supervised by an on-site veterinarian employed by the government of Mexico to ensure that all exports conform to Mexican health and safety laws. According to documents filed in court, Tyson’s Mexican subsidiary, Tyson de Mexico, paid approximately $90,000 between 2004 and 2006, to two publicly-employed veterinarians who inspected its Mexican plants, resulting in profits of approximately $880,000.  The payments were made both directly to the veterinarians and indirectly through their wives, who Tyson de Mexico listed on its payroll, although neither performed any services for Tyson.  According to court documents, the bribe payments were made to keep the veterinarians from disrupting the operations of the meat-production facilities.  When payments to the spouses were terminated in 2004, Tyson representatives agreed to increase the amount paid to the veterinarians to match the amount previously paid to their spouses. The agreement requires that Tyson pay a $4 million penalty, implement rigorous internal controls, and cooperate fully with the department.  The agreement recognizes Tyson’s voluntary disclosure and thorough self-investigation of the underlying conduct.  If Tyson abides by the terms of the agreement for the two-year term, the department will dismiss the criminal information. In a related matter, Tyson reached a settlement today with the U.S. Securities and Exchange Commission, under which it agreed to pay more than $1.2 million in disgorgement of profits, including pre-judgment interest. This case is being prosecuted by Trial Attorney Kathleen M Hamann of the Criminal Division’s Fraud Section and investigated by the FBI’s Washington Field Office. Component(s):  Criminal Division Press Release Number:  11-171       【本貼文發佈全世界】※※如果AIT為了壞美國人的利益，就是美國泰森食品公司(tyson foods, inc.)的老闆約翰‧泰森，阻止台灣政府司法部門偵辦美國泰森食品公司賣冷凍病死雞棒棒腿給台灣人吃，把台灣人當畜牲的詐欺刑責，AIT必將食惡報。",,,SekalinyanECM itu mahal lah kang biggy.. <br />Kmren banyak di loker ku punya komatsu,Plz how is <BX> Fmx engine timing,Very informative video thanks,,,Love my 2013 <M2> with I shift,,,,"<a href=""https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.co.uk%2Fulk%2Fitm%2F293453302700"">https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.co.uk%2Fulk%2Fitm%2F293453302700</a>",,
3,@Biggy Feri 370,"Crankshaft sensor = Flywheel sensor , sir.<br />Because Flywheel is mounted to the Crankshaft.",<M2>-XE with TC for the low end Grunt and Max fuel economy!! 👍 Win win<br />2.47 or 2.64 rear axle ratio,,terima kasih bosku,All the talk of down speeding sounds good on paper but they never show these trucks on a hill.  2.64 or lower axle ratios offer no pulling power in the hills requiring more downshifts and wasted fuel.  <br /><br />That steering wheel does not belong in a truck.  What if there is a power steering failure?  The fat spokes look poorly placed and uncomfortable to handle for 11 hrs a day. And I hope the made the cabinet latches better quality than the current ones also.,,,"Gak bisa bos, itu yg reset org EDJS blkppn, pakai aplikasi team vieweer, jadi seperti di remot dari jauh.<br />Aku cuma videoin aja. 🤣🤣","Thank you, sir.<br /><br />I hope my video is useful for you.",You&#39;re welcome,,,رهيب,,,,i own 2001 <BX> d12 curent 1.85 mil miles im owner for 8 years 1.05 mil when i bought it<br />i change oil myself all the time with mobile delvac and oem <BX> filters<br />oil change time 1 hour max time <br />engine never touched while owning in 8 years and very happy with <BX> engine,,
4,FMX versu berapa bang? klo yg FMX 440 pakai engine <M2> bang,السلام عليكم كيف حالك انا من الجزائر سوال عن محرك فولفوا TD70h قياس ضبط الصمامات كم سعة الزيت اذا كان ممكن دليل لي شاحنة فولفو f7,I love my <M2> 455HP 1750 torque 12 speed IShift loaded semi truck 7.2 MPG,,thanks a lot<br />can you tell me from where can i get Wiring diagram for <BX> trucks?,"Emission-free transportation technologies have been available for mass production for over 25 years, but without the needed infrastructure. Cars – affordable for the general public – with engines of about 1 litre fuel consumption, or cars with real water-using engines have been ready for production for over 2 decades now. These high-tech prototypes were successfully tested in countries like Canada, USA, Australia, Norway, England, Sweden, Finland, Belgium, Holland, Denmark, Germany, Poland, France, Switzerland, Czech Republic, Austria, Italy, Israel, China, India, South Korea and Japan. We should already be manufacturing 35-40 million emission-free vehicles annually, and H2O engine systems should have been producing energy instead of our fossil-based and nuclear power plants. Entire technological documentations of such technologies have vanished in the EU`s Institute for Innovation and Technology, and, according to the legislation in order, it is right to be so. The expense involved in the production of such technologies is half of that of the traditional engines, they weigh about 70% less, and they can provide a huge torque. Their working range can be several thousand miles, cars could weigh 200 kg less, and their price could be 3-4000 Euros less. Segments of nearly the entire car industry secretly have the prototypes and successful tests. At the present moment we are poisoning our environment just out of mere arrogance and greed. We live in a cheap and indecent world. I firmly claim that we simply shouldn`t lie to 7 billion people, and this is only the tip of the iceberg. This information is entirely true and I hold myself accountable for its validity.<br /><br />Sincerely, Istvan Gazso, inventor",,,@Biggy Feri harus di reset program ulang dlu. <br />Iya sih betul juga salah satunya trick bisnis gak diajarin biar org dealer yg instal.. <br />Tapi kang biggy bisa nah,I&#39;m mechanic from Oman  and I daily watch your videos,Sensor yang terhubung dengan Engine kontrol unit. 👌,,,"We are inherited from my father and my brother, and I have <BX> trucks, and now I own a <BX> FH D 13 520 hp model 2007, and I am a <BX> fan. Actros trucks refused because my country Jordan does not buy anything but Mercedes and we blame an agent, and I am a promoter of <BX>, and I convinced many people near and far and my phone number  Watts 00962772945580 darling <BX> Khadr Al-Taamari and my dream ride in a <BX> FH16.  750 HP I wish, <BX>",,,,That&#39;s impressive! do you know if the engine was rebuilt before you bought it ? and what&#39;s your oil change intervals?,,
5,Mau nanya injection pump ny mna mas?,@Biggy Feri شكراً على الإجابة,What fuel economy do you ascertain?,,👍👍👍👍👍👍<br />ممتاز,who is allison,,,Kalo punya komatsu lebih enak bisa langsung dipakai ke unit yg lain. Kalo punya <BX> gak bisa bos.<br />Harus di program ulang dulu.<br />Jadi tetep harus panggil orang dealer. 😁,You&#39;re welcome,Mantep mas bigi.. Nambah ilmu lagi...,,,Love,,,,How often you change oil?,,
6,"Di sebelah kiri dari engine, di bawahnya AIR Compressor mas. <br />Fuel Pump di pasang tandem dengan Stering Pump.",آسف سيدي ، لم أعمل على هذا النوع من فولفو. ومكاني ليس هناك.,"I&#39;m a hot shot operater not an RV. Replaced a Ford 6.7 for a single axle <BX> 11L I shift..so far I&#39;m loving the power &amp; double the fuel mileage. Plus a full size sleeper, no more motels.",,Thanks. 👍,"I shit , go eaton",,,Bang kalau oil pressure gauge di dashboard naik turun kira kira kenapa yaa?,@Biggy Feri thank you so much sir god bless you,Trima kasih kang edi. Bar iki insya allah video pengoperasian dozer feat Sugeng S. 😁😁,,,I loved driving <BX> before I bought one! They put bad quality parts on this expensive truck that is breaking all the time. Also the air leaks are so annoying  I have to fix few air leaks a month. Sensors going out and half of time no check engine light. I bought my <BX> brand new in 2015. Now I have 800k miles on it. If I didn&#39;t learn how to fix many things by my self I would be out of business! Also in our company 4 trucks with <M2> engines did a overhaul before 600k miles.,,,,I was hoping for some information on how the filtration system works. Why not just one large filter? Do they all have different uses?,,
7,Sambarata kah bang,Mcm mana manual start <BX> d12 tanpa tech tool?,I hope some day they will remove the DEF system !!! D12 was the best engine ever but if I need to choose someday between <M1> or <M2> I will go with <M1> for better fuel efficiency since I am not a power guy :) Anybody know here what will be the difference in MPG between <M1> and <M2> in number please or percentage ?  Thank you,,"mntap ,pnjlasan nya sangat jelas n mdah dmngerti👍👍👍👍",What about hill assist?,,,Berarti sensornya yg masalah bang. Coba ganti yg baru dulu,"Control of camshaft settings, cold engine and valve clearance for cylinder 1 inlet valve = 0.<br />The inlet valve for cylinder 1 at flywheel position 6° ATDC should be open 1.6 ± 0.3 mm.<br />When checking, the timing gears must be rotated in the correct direction (clockwise seen from the front) in order to take up all backlash.",<BX> mantap bang,,,Your company might need to revise the type of oil they are using.,,,,"Took me 13 hour too change STARTE ... On <BX> D12 1999 .... All because of one screw , I would like too talk too Designer engineer ...",,
8,Iya dulu 😁😁,"Kalo untuk start engine, jalur suplai (positif) dari starting switch menuju ke Relay starter. Kemudian untuk ground (kabel massa) dari relay starter menuju ke Engine ECU.",Without DEF you will suffer slower engine timing to control NoX because it cannot be scrubbed by the DEF. Lower MPG and decreased reliability from the higher amount of EGR needed without the DEF 👎,,Suwon chip,like for Allison,,,"@Biggy Feri sudah di tes gauge bang , semua gauge berfungsi normal. Cuma ada temuan tadi pas ngecek sensor oilnya ada oli nampung",مهندس عملاق,Aq bagiqn nyimakk aza.. semangat bangg,,,"changed all 6 injections fuel economy did not go back up stuck at 6.0mpg. I use to have 7.3mpg not anymore. also my boss that I work with he has 14 <BX> <M2> trucks. after around 400k miles fuel economy drops down no check engine lights, power seems the same, Trucks idle great, turbo boost is good. many driver told me to change injections and <BX> dealer said something so I did and guess what nothing happened! I like <BX> but when I had any problems with them its hard to find the real problem. you will end up spending 10k+ and mind not find the problem in the end. this happened personally to me 2 times! spent lots of money on DEF then just decided to delete it. then now I got this fuel problem that dropped to 6.0 and I spent so much money on it with zero results!",,,,Oh just wait till you have a <M2> and  bull gear comes loose!,,
9,Filter by pass nya sebelah mana gan kita pasang,"@Biggy Feri sya mau tau mcm mana wiring diagram masa start, pasal <M1> d12 semua ada ecu kan",wow you really like the d12?   i just got a new 08 465 last year and no def .  why you say it the best just curious?,,"Mantap,,tapi mekanik aja yg punya alatnya bos,,kalau operator kira2 apa yg bisa dilakukan bos",Zoltan Bebto drahim,,,"Coba dulu dilihat errornya bang,<br />Trus coba samean lakukan &quot;Test Gauge&quot; apakah normal semua atau tidak.<br />Kemudian cek sensornya, bisa jadi sensor bocor.<br />Atau ada kabelnya yg rusak.",English please.,Trima kasah kak,,,tego un problema d cobutible,,,,Heavy,,
